[2026-09-22 09:43:31] Dossier introuvable : C:\Users\008-15-ELEVE\Downloads\Untitled-1.ipynb
[2026-09-22 09:43:31] Rapport sauvegardé : scan_report.json
[2026-09-22 09:44:11] Dossier introuvable : C:\Users\008-15-ELEVE\Downloads
[2026-09-22 09:44:11] Rapport sauvegardé : scan_report.json
[2026-09-22 09:47:08] Chemin introuvable : C:\Users\008-15-ELEVE\Downloads
[2026-09-22 09:48:08] Chemin introuvable : C:\Users\008-15-ELEVE
[2026-09-22 09:50:11] Rapport sauvegardé : /workspaces/projet-antivirus/scan_report.json
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/9029.72fbdeecbac5889f.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/3071.838fd3a7554dd171.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/1344.7c0e73be6aeed30b.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/3502.2a088e489938b55f.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/9303.c60c457976074d21.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/840.097aa3a6454708e0.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/298.14d454ce4b32b3cb.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/52.7e412bab2a382a4b.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/6523.d49becf7e3284255.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/3459.387b0b56c73ca3d1.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/875.6483eb89fd8d09e0.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/293.9e31f21f77925d6d.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/5112.6b421092c62def94.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/4845.6da260237bbb8966.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/3801.2a49fc8317ea8350.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/1984.129e1d8ddca9362f.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/9954.aa40d27c3a9319cc.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/6445.327be8f9e454c735.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/3288.0379d6d2ee2b1de4.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/5121.60a6f2420855edfe.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/style.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/5786.2d554c43063b5a1c.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/5260.1901af9c24d663ff.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/3481.72f0535629efba91.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/518.3e2d29a1fff0ce98.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/962.33ba5c4701b5060f.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/6925.54225e26e0024dde.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/2874.ea9bd8ad31b1acb0.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/2287.a918ef4a3b6b8f66.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/7335.075b979f938ebf2e.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/479.bdbaa5d2cdd9bc91.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/992.1e5b27001dad0742.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/5695.5cbe004c8157ef7a.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/8256.1e4dcd667fab41ae.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/6506.c5495027d50f4c04.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/1815.b4c56924ee770a55.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/3968.b2bb6b9a5ddda9c3.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/2323.c7bce40851364fb3.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/5560.d4dcb973b404cdb2.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/753.6dbee5789f5b7169.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/5098.4ee4636d061dc431.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/2461.eb1ea097b2eb54cf.js (extension: .js)
[2026-09-22 09:51:27] [SUSPECT] /home/codespace/.local/share/jupyter/lab/static/5092.6ac83eda32fe365b.js (extension: .js)
